source,conversation_id,author_id,reply_settings,id,text,created_at,public_metrics,lang,search_query,referenced_tweets,in_reply_to_user_id,geo
Twitter Web Client,813561873257754624,3284305868,everyone,813561873257754624,Malungkot na bagong taon ang darating sakin ngayon Haystt! 😭😭😪 #Depressed #Sad #Emotional,2016-12-27T01:47:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,811693327292755970,767593867856089089,everyone,811693327292755970,Sana mawala nalang ako. 😞 #sad #depressed,2016-12-21T22:02:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Facebook,809032906039443456,173620163,everyone,809032906039443456,#Confussedd.?? #Sad ?? #Irritated ?? #Annoyed ?? #Depressed ?? #Lonley ??..| #Reason pta nhi .. Bs feeling hai... http://someurl,2016-12-14T13:50:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Facebook,809027883117121536,173620163,everyone,809027883117121536,#Confussedd.?? #Sad ?? #Irritated ?? #Annoyed ?? #Depressed ?? #Lonley ??..| | #Reason pta nhi .. Bs feeling hai :(... http://someurl,2016-12-14T13:30:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,808362054000070656,135870103,everyone,808362265321750529,@someuser loko! WAG AKO. #depressed,2016-12-12T17:25:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '808362054000070656'}]",118336410,
Facebook,808279384960434176,278928609,everyone,808279384960434176,So stress =( bat gnito? Kulang na nman?! Pg gnito i wanna let it go. Stop nba? Ano ba?!| #sosad| #depressed —... http://someurl,2016-12-12T11:56:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Instagram,807939710744141824,835033442,everyone,807939710744141824,#depressed ako bakit ba! http://someurl,2016-12-11T13:26:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,807783946838650881,2252015046,everyone,807783946838650881,"Di pa nga nasosolve ang problema o nabawasan man lang, pero habang tumatagal mas lalong nadadagdagan. 😔😞😢 #Tired #Wanttogiveup #depressed",2016-12-11T03:07:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,#depressed,,,
Mobile Web (M2),806468557315768320,749126098533822465,everyone,806468557315768320,Grabe gud ang sayaw sayaw ko sa harap ni mama di parin niya ako gipansin😭😭#REJECTED #DEPRESSED😂😂😂,2016-12-07T12:01:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,805364765874745344,535430678,everyone,805364765874745344,akala lang nila okay aq pero inside me im not okay 😢 #nakakaiyak #depressed,2016-12-04T10:54:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,804976637318049792,86702447,everyone,804976637318049792,May wrinkles nako sa mata. #depressed,2016-12-03T09:12:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,#depressed,,,
Twitter Web Client,804969964440616960,30883559,everyone,804969964440616960,hindi pakistani hot sexy movies porno #depressed sex http://someurl,2016-12-03T08:46:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter Web Client,804607976996622336,4628411412,everyone,804607976996622336,naiinis akoooo| sana hindi ko na lang pinalitan 😢😢| #frustrated| #depressed| #stressed| #regrets| #lahatnangnega,2016-12-02T08:47:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,804291321129103360,3577725560,everyone,804598341711503360,@someuser paano?| #depressed,2016-12-02T08:09:28.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '804597486522241026'}]",276429775,
Twitter for Android,803159511506690048,3284305868,everyone,803159511506690048,Yung iiwanan ka rin ng mga kaibigan mo. Kaibigan ka lang nila pagmay kailangan sila 😪 #WhereIsTheTruth #Sad #Depressed,2016-11-28T08:52:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,802279087721119744,30160772,everyone,802279087721119744,Idadaan ko na lang sa mudpie cheesecake. Heres the last bite. With coke zero. #depressed hahaha http://someurl,2016-11-25T22:33:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,801019165435826176,3232196402,everyone,801019165435826176,"Disney, part po ng childhood ko yung Cars. Ano na ginawa niyo kay McQueen sa trailer ng Cars 3??? #depressed",2016-11-22T11:07:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,799594176731955200,352150326,everyone,799594176731955200,I dont want to go out tonight. Nagpabili na lang ako ng Pork Sisig at Ginisang ampalaya para sa dinner ko. #depressed,2016-11-18T12:44:42.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,799414757824466944,70360844,everyone,799414757824466944,Yung lahat kinatamaran mo na pati paglalaro.| #depressed,2016-11-18T00:51:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,798812727409901569,2420065500,everyone,798812727409901569,"Yung second week palang pero yung Quiz mala- Prelim Exam. So, sa Prelim day, pang PT Boards ang tanung ganern? 😭😂| #Depressed",2016-11-16T08:59:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,#depressed,,,
