source,referenced_tweets,conversation_id,author_id,reply_settings,id,in_reply_to_user_id,text,created_at,public_metrics,lang,geo,search_query
Twitter for iPhone,"[{'type': 'replied_to', 'id': '814979740322779136'}]",814955401787621377,41378353,everyone,814982118967283712,176606900,"@someuser cmon Paul, have a hot dirty take about the elderly. #disappointed",2016-12-30T23:50:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,{'place_id': '4de072969805ac41'},#disappointed
Twitter for Android,,814981816633409536,799300715537715200,everyone,814981816633409536,,Im so pissed off. There are at least 100 ppl that see my tweets but none of em like my tweets I feel ignored AF | #sad #disappointed #fuck http://someurl,2016-12-30T23:49:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPad,,814981046563459072,896223366,everyone,814981046563459072,,Movie review : Passengers Movie was nowhere near as good as I was expecting. Anti-climatic and a very predictable ending. #disappointed,2016-12-30T23:46:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,"[{'type': 'replied_to', 'id': '814979119066779648'}]",814979119066779648,587370519,everyone,814980237100519424,241823065,@someuser I cant believe that #LaurelAndHardy arent shown daily on the BBC during every school holiday. A shame. #disappointed,2016-12-30T23:43:24.000Z,"{'retweet_count': 8, 'reply_count': 1, 'like_count': 15, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814979830253031425,790221402,everyone,814979830253031425,,"I asked my mom if she knew what a gameboy colour is and she said blue, #childhood #parents #disappointed",2016-12-30T23:41:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814979571242192896,22578500,everyone,814979571242192896,15519565,@someuser as a newer cust  I really didnt expect many problems adding tv to my internet package. 3 phone calls & still wrong #disappointed,2016-12-30T23:40:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,{'place_id': 'f1d134c7fd204d74'},#disappointed
Twitter for iPhone,,814978914179235845,2151529563,everyone,814978914179235845,431734071,@someuser mine was Xmas present for my daughter still hasnt turned up I dont think it was sent would not take this long #disappointed,2016-12-30T23:38:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,"[{'type': 'replied_to', 'id': '813799329551020032'}]",813799329551020032,218014406,everyone,814978251508645889,218014406,@someuser are you out of business? Its the only way to explain the lack of response to my customer service inquiries. #disappointed,2016-12-30T23:35:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for Android,,814976593026306048,357569784,everyone,814976593026306048,,When you order a #pizza from @someuser and it arrives stuck to the box. #disappointed http://someurl,2016-12-30T23:28:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814974082735308800,4799560097,everyone,814974082735308800,,Very #disappointed @someuser.. my rice is old and hard. What happened?? I was looking forward to this #meal. #Chipotle #burritobowl,2016-12-30T23:18:57.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPad,"[{'type': 'replied_to', 'id': '814962012149010432'}]",814962012149010432,809549966,everyone,814973462188064769,139823781,@someuser you mean CHRISTMAS CARDS ???? I thought you had more gumption than that....Fooking Holiday Cards REALLY 😳#disappointed,2016-12-30T23:16:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#disappointed
Twitter Web App,,814971660545695744,814173400579112961,everyone,814971660545695744,,Love how people say they will do somthing then they dont  #disappointed,2016-12-30T23:09:19.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",en,,#disappointed
Twitter for Android,,814968718535036928,1170840956,everyone,814968718535036928,,"Even though I knew this would be the outcome, still doesnt make it feel any better #disappointed #GBR #Huskers",2016-12-30T22:57:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter Web Client,,814967070693752838,182567179,everyone,814967070693752838,360867945,@someuser Bought 10 bone ribs from Parma OH location. Half were not done enough. Too much pink! Overall not great impression #Disappointed,2016-12-30T22:51:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,"[{'type': 'replied_to', 'id': '814002026891935744'}]",813989428884570113,698348421716013057,everyone,814965132300349446,404389799,@someuser @someuser Smh dominos  #disappointed,2016-12-30T22:43:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPad,,814963439709945860,19319402,everyone,814963439709945860,48497136,@someuser now that the 16 RX is a year old dont u think its time u fixed the exhaust drone. This is really bad for ur image! #disappointed,2016-12-30T22:36:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for Windows,,814963366200492032,28640675,everyone,814963366200492032,161296820,@someuser got our son a @someuser train for Xmas. Had to return it due to a fault and replacement is missing a part! #disappointed http://someurl,2016-12-30T22:36:22.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814961934294454273,20070724,everyone,814961934294454273,,Been pretending to order imaginary room service- Sadly  my attempt to order OH to make me a martini has fallen flat. #disappointed #notip,2016-12-30T22:30:41.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
