author_id,created_at,reply_settings,conversation_id,id,source,text,lang,public_metrics,geo,search_query,in_reply_to_user_id,referenced_tweets
23291248,2016-12-30T22:56:10.000Z,everyone,814968349419372545,814968349419372545,Twitter for iPhone,"Dec 30 6p-6a| Dec 31 10p-6a| Jan 01   6p-6a| | Tf! Pangitai gyud ug pa-agi kay ug dili, mu absent gyud ko puhon. 😡#pissed",tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '00ca4cd1517ddd94'},#pissed,,
64398258,2016-12-30T15:02:32.000Z,everyone,814849153830293505,814849153830293505,Twitter for iPhone,taenis!| pano ba mag-deact ng messenger?| #pissed,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
201650448,2016-12-30T05:28:57.000Z,everyone,814704807566938113,814704807566938113,Twitter for iPhone,It was supposed to be funny pero kinampihan mo pa siya😤😞😐 #Pissed,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
739409547828199425,2016-12-29T15:56:23.000Z,everyone,814500321506390016,814500321506390016,Twitter Web Client,buwiset! walang filter ang bibig.| #annoyed #pissed #disturbed,tl,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",,#pissed,,
2884897259,2016-12-25T10:18:38.000Z,everyone,812965772334989312,812965772334989312,Twitter for Android,Piste nanguta ra gali pakyuhan dayun may ra kag ikaw mangutana ha man-i ka nako #pissed,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
323055188,2016-12-24T04:07:26.000Z,everyone,812509966003150848,812509966003150848,Twitter for iPhone,5 months na kami nag uusap ng globe? Ano na? Kilos kilos din. #pissed,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
138995071,2016-12-20T01:49:21.000Z,everyone,811025667819044865,811025667819044865,Twitter for BlackBerry,Nyeta this! Tagal magdownload!! Wala talagang kwenta net ng Globe! #pissed,tl,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,#pissed,,
3304088959,2016-12-18T23:42:56.000Z,everyone,810631462646992897,810631462646992897,Twitter for iPhone,Ah so ganyan pala gusto mo ha... i can play that game! Wala lang sisihan! #pissed 😡😡😡,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
88337262,2016-12-18T14:43:21.000Z,everyone,810495675397914624,810495675397914624,Twitter for Android,Siguraduhin niyo lang na walang mangyayaring masama sa dalawang inaalagaan ko diyan -_- #Pissed,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
353104860,2016-12-17T13:36:43.000Z,everyone,810116518428037120,810116518428037120,Twitter for Android,"badtrip naman tong #Globe pag tapos ko kayo bigyan ng magandang rating, saka kayo magagago sa internet. #pissed",tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
293994315,2016-12-17T12:07:18.000Z,everyone,810094012937834496,810094012937834496,Twitter for Android,di nila ako pinapansin #pissed,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
140293934,2016-12-16T10:40:12.000Z,everyone,809709705895387136,809709705895387136,Twitter for iPhone,Kaya siguro ang tagal ng permit to carry ko kasi ayaw papa jisas makapatay ako ng jeepney driver. #pissed,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
3049784155,2016-12-16T05:49:49.000Z,everyone,809636630138978304,809636630138978304,Twitter for iPhone,"Ang hilig humiram, pag sinoli.. sira! Dyan kayo magaling eh. 😑 #pissed",tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
470646888,2016-12-16T02:09:38.000Z,everyone,809581220229218305,809581220229218305,Instagram,O baka naman patola lang ako. #pissed #annoying #friday http://someurl,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
229752556,2016-12-15T06:47:55.000Z,everyone,809288864560861184,809288864560861184,Twitter for iPhone,Hay nako buwisettt!!! 😡😡| #pissed,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
270092507,2016-12-15T05:25:54.000Z,everyone,809268223506075649,809268223506075649,Facebook,Ka Hustle buh sa Update Dota 2 uy -_-| #pissed,tl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#pissed,,
