lang,created_at,public_metrics,reply_settings,text,id,author_id,conversation_id,source,search_query,geo,in_reply_to_user_id,referenced_tweets
zh,2016-12-10T09:22:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,明明是| 最期待的12月| 今年是怎樣啦？！| 跟你說又說懂| 說懂又做不好⋯| 到底是在沒心| 還是我對牛彈琴⋯| #fuck #angry #disappointed #blame| #me... http://someurl,807515700256501760,2367920372,807515700256501760,Instagram,#disappointed,,,
zh,2016-10-29T16:48:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,時常有了新的體悟。 #人性黑暗面  #原來自私的人無極限 #Disappointed http://someurl,792407821694435329,510754875,792407821694435329,Instagram,#disappointed,,,
zh,2016-10-06T17:05:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,如果從沒有期待| | #痛和失落與人無尤| #超過了預期| #life #allaboutricardolsw #belief #disappointed #sad #letitgo #forget... http://someurl,784077130833416192,910875823,784077130833416192,Instagram,#disappointed,,,
zh,2016-09-15T08:42:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,月出無望| #iphonography #landscape #cityscape #nomoonrise #cloudy #disappointed @ 馬料水水警基地 http://someurl,776340420158783488,15487797,776340420158783488,Linkis: turn sharing into growth,#disappointed,,,
zh,2016-09-10T01:54:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,//偶爾也聽說 除了我 你還有個角落| 我卻裝作沉默 還冷漠的犯錯| 讓你找他訴說//| | #ToyTravel  #CanonM10  #Rilakkuma #disappointed #摩天輪的思念 http://someurl,774425677286309888,143016340,774425677286309888,Instagram,#disappointed,,,
zh,2016-09-06T08:24:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,人跟人之間為什麼能這麼複雜| 面對這種問題| 真的覺得好累| 到底該如何解決...| #無解 #好累 #tired #sad #disappointed #nosolution #unsolvable... http://someurl,773074462036021248,1690093718,773074462036021248,Instagram,#disappointed,,,
zh,2016-09-03T14:52:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,这么多的失望！| 到底是为了什么？| | #disappointed | #whatshouldido @ Singapore http://someurl,772084740081881088,398730794,772084740081881088,Instagram,#disappointed,"{'coordinates': {'type': 'Point', 'coordinates': [103.856, 1.29306]}, 'place_id': '58a4c3a0d54e1400'}",,
zh,2016-07-17T04:43:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,等咗大半個鐘，點知係得個樣但無內涵嘅cafe... #disappointed #thepicnic #burwoodpark http://someurl,754536950795636737,45090438,754536950795636737,Twitter for Android,#disappointed,,,
zh,2016-07-05T02:21:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",everyone,這 是 怎 樣 ， 不 能 選 其 他 的 隊 伍 嗎 ， 偏 偏 選 勇 士 😠 😠 😠| | #kevindurant #disappointed #havenothingtosay http://someurl,750152551882973188,1225422595,750152551882973188,Instagram,#disappointed,,,
zh,2016-06-26T12:37:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,這麼大的故事被拍得這麼小情小愛，還我魔獸的世界觀！！！—覺得失望😞 #disappointed @ 台中 新時代購物中心 華納威秀 http://someurl,747046108178817024,1019909844,747046108178817024,Instagram,#disappointed,,,
zh,2016-06-25T17:40:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,二訪雄偉的鋼彈一比一模型～仍然很吸睛～為何我這次想吃的美食都一直提早關門～ѕσ ѕαd😭😭😭| #台場鋼彈 #又沒吃到串炸物語 #disappointed @ 台場 Diver City... http://someurl,746759966355251200,2360705606,746759966355251200,Instagram,#disappointed,,,
zh,2016-06-23T23:49:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"#disappointed | 經過風風雨雨已經殘碎不堪,| 就像一卷已經跳針的錄影帶。 http://someurl",746127999896936449,2445913098,746127999896936449,Instagram,#disappointed,,,
zh,2016-05-17T13:01:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,M記抹茶新地筒返黎啦😋始終都係偏甜～失望😔| #老麥 #抹茶新地筒 #toosweet #Disappointed http://someurl,732556681138327552,426740039,732556681138327552,Instagram,#disappointed,,,
zh,2016-05-02T04:54:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,I got lost myself. 個性變了卻還是那個沒自信的自己。到底改變了什麼！找不到自己 還是那個沒勇氣的自己 #disappointed,726998238885109760,1256584777,726998238885109760,Twitter for iPhone,#disappointed,,,
zh,2016-03-24T11:52:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#20160324| | 有些事情其實我們都心知肚明| 只是我們都不說出來| 放在心裡| 欺騙自己罷了| | #disappointed http://someurl,712970426608181249,1968017232,712970426608181249,Instagram,#disappointed,,,
