,text,emotion
0,Person now the bug will get to speak is easy I want to see is by Réé Poka Idea and very Rachaa,anger
1,Person that pity passed 000 posts by my face yesterday only 0 cited the Republic will be that we lack civism and love to the country,anger
2,Phod good morning rs for those who vote or voted on the pt accompany aii ó only shit these know that they will not get anything else from there the attitude of steal enough not to lose the custom rs lulalá,anger
3,Person This is the state of the street Doctor Areolino de Abreu in Honorio Gurgel and Mayor Person said that the river surpassed the rain imagine if I had not overcome everyone there had to die for someone to look for,anger
4,Ufa ufa person that night horrible without light all night arrived AGORINHA aff,anger
5,Person knows so far I can not understand there are several campaigns against child labor but they use children actors to demonstrate this then children's actors and singers is not work they call these professions that even,anger
6,"for the 0000 bicampeonate by kindness pass this message for as many people as possible so that everyone can know the dirt that rounds the football from now thank you for a hug, person globe of journalism where football has arrived",anger
7,Be at peace for sure must be in a place better than this where we inhabit,anger
8,Vica a tip is the tip ai partner after we are d Lowest turn still fucking down on a day and being fined the other day for this demoted and with neon,anger
9,for children can this where the secretary of education is not the best now where you justice of shit that does nothing nana person to person did with this tansa is little she has to take much more person of shit,anger
10,I ask and if a catastrophe had happened and there was a need for this amount of donors to save lives like Hemoes,anger
11,teacher asking one thing and falling another person must be turning in the coffin and we still have teachers who in the next election will vote in this cretin only lingo for these sad disappointed and feeling injured,anger
12,¬¬ Person looks at the prejudice,anger
13,Playing with the lives of people who need this transportation to get around for their work and residences is more fun,anger
14,Surreal Hospital of Clínica São Gonçalo What is worse to die in the corridor of a public hospital or pay this ae who are charging Riosurreal Quabsurdooo at Hospital das Clinicas de São Gonçalo,anger
15,Person looks at this face I know a lot out there pretending to be an angel and inside a rot affs is disgust but one day Mascará falls,anger
16,Person won an Xbox and wanted so much to show Pro Manoel Tavares,anger
17,Only 0 person,anger
18,because each one has his own story does not compare his life with life with the other of others you know how the path they had to tread in life good night ah and the tip,anger
19,Here is the reason for the hatred of some Ministers of the STF against the companion Zé Dirceu,anger
20,Person is not easy for you to stay years and years waiting for justice even more when we waited to take care of person a very sad life so that I only believe the person of person person cole and person,anger
21,Thank you very much.,anger
22,Good this plague is fucking boring boy fucking naumm talk but with me,anger
23,Judgment is a shame,anger
24,Person shock to the student that absurd is this,anger
25,my party hand ruti person the justice will be made some photos of the individual bad character anything warn the police,anger
26,Person and have to wait sitting even because in peans there is no perfect man,anger
27,"more likely is that we are before the ""beginning of the end"" of another relationship ""love and facebook have mto care know how to honor what you have""",anger
28,Person ai what hell this fucking tim will not even a sms for anyone q shit already turned off an 00 times and nothing tim,anger
29,Person with this heat,anger
30,Person Sometimes it is necessary to recycle to continue in the center of the will of the Lord in Recife Brazil,anger
31,Person will be going to Karaca,anger
32,"Person fucking me with a pair of poblema and these people who do not have to do is still gossip I will try to say yes, no right, we take care of another way",anger
33,Dude people people,anger
34,"Falcatruas plus you with your vote may well choose better who can fight with you by your rights person ""Sorry for the mistakes""",anger
35,Person os arom bat ai hous pel ai tlai,anger
36,Person there with so much harm,anger
37,who financed among other election campaigns,anger
38,after using please stay at home playing a play,anger
39,Abandonic anti-abandonist follows facebook of coward,anger
40,God where we are going to stop politicians like this this is for those who elected people please do not give powers to those who do not like person gives in that they pay attention to who vote a shame this senator,anger
41,Person aggregates value,anger
42,Person fact we know until the phone when it does shit or is lying person,anger
43,Person that shame that disgust if it happens aff end of the times News table centers souvenirs t-shirts personalized and more want to know more of my work me add tbm on orkut it has several models of everything you need and what I did not have,anger
44,Assess me that person,anger
45,Person vstrombrasil in my opinion I think absurd the bubble of the fat do not have treatment antirisk which paninho already scratch the acrylic the cost of the bike should add quality also in the bubble,anger
46,Person honestly I'm sick of this punch tired of boring joke every day,anger
47,Plis Person Please stop sending me invitations to Playon I like to play,anger
48,Person person because it is me so do what it does not use to pass the leg because the righte is fair will be charged person is friend of the person and she confuses things like this does not,anger
49,Person if I drink and my problem if I turn the night and my problem if I like binge and my problem of my life I take care of me that xero good afternoon,anger
50,This person indignation quota is the full statement of public education bankruptcy in Brazil How many rich blacks there are How many poor whites there are the quota system should be analyzed according to the social class and not the color of the skin,anger
51,Person a super heating caused this on my iphone0 care if you have a,anger
52,Dignity more health and more education,anger
