id,conversation_id,public_metrics,text,reply_settings,created_at,author_id,source,lang,search_query,referenced_tweets,in_reply_to_user_id,geo
814861799199678464,814861799199678464,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2017 na self-centered ka pa rin. #sad,everyone,2016-12-30T15:52:46.000Z,526137908,Twitter for Android,tl,#sad,,,
814832976089346052,814832976089346052,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",gusto ko lang naman mag-ek w u tapos inaaway mo me :-( #sad #empty #broken http://someurl,everyone,2016-12-30T13:58:15.000Z,1698797610,Twitter for Android,tl,#sad,,,
814810101835935745,814808728801132544,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@someuser @someuser HUHUHU #Sad :((( pero di bale para naman sa future namin yan HAHAHAHAHA charooot!!!,everyone,2016-12-30T12:27:21.000Z,1608325021,Twitter for Android,tl,#sad,"[{'type': 'replied_to', 'id': '814809822004527104'}]",122513483,
814775681334714368,814775681334714368,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Ok lng sa akoa na masira a2ng 😞😞😭😭😐 #FRIENDSHIP👫👱👩, Bxta Dli lng mo MaG-BULAG🐷🐶🐼| #SAD🙀🙀😭😟| #sORRy🌷🌹💐",everyone,2016-12-30T10:10:34.000Z,2374677872,Twitter Web Client,tl,#sad,,,
814773735727173632,814773735727173632,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Sabihin mo na ang totoo na my gf kana para nd na ako umasa sa wala :( :p| | #sad — feeling sad,everyone,2016-12-30T10:02:51.000Z,4700742397,Facebook,tl,#sad,,,
814758304660361216,814758304660361216,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",miss u mahi..| #emotional #Sad #missing http://someurl,everyone,2016-12-30T09:01:31.000Z,3189821838,Twitter for Android,tl,#sad,,,
814754136835002369,814754136835002369,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",daw naubos tanan ko nga kinaon tungod sa byahe #sad,everyone,2016-12-30T08:44:58.000Z,3259693848,Twitter Web Client,tl,#sad,,,
814720186108375040,814720186108375040,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Ang sakit ng upper lip ko #Sad,everyone,2016-12-30T06:30:03.000Z,1608325021,Twitter for Android,tl,#sad,,,
814674320689659904,814674320689659904,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",sad man #TheMemebot #sad man #Funny #Meme http://someurl http://someurl,everyone,2016-12-30T03:27:48.000Z,737394371809533952,IFTTT,tl,#sad,,,
814491363936964608,814491363936964608,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Bkt sa Dinami daming pwedeng magbago sakanya ugale pa nya😥| #misskonayungdatingsya| #Sad😔,everyone,2016-12-29T15:20:48.000Z,800305585090461696,Twitter for iPad,tl,#sad,,,
814482432497856512,814482432497856512,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Maovernight ka lang lys. Indi ka to mag-istar. #sad,everyone,2016-12-29T14:45:18.000Z,813947916045860864,Twitter for Android,tl,#sad,,,
814461828914966528,751939197091581956,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@someuser ap chaly gay?:(mjy reply b ni kia #sad sad sad,everyone,2016-12-29T13:23:26.000Z,2946271836,Mobile Web (M2),tl,#sad,"[{'type': 'replied_to', 'id': '751939197091581956'}]",1133920393,
814461277359734784,751939197091581956,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@someuser shahid bhai ny mjy reply ni kia #sad,everyone,2016-12-29T13:21:15.000Z,2946271836,Mobile Web (M2),tl,#sad,"[{'type': 'replied_to', 'id': '751939197091581956'}]",1133920393,
