source,public_metrics,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",484104532,তুমি চলে গেলে| ফেলে গেলে জল| বুক চিরে আজ শব্দ বেড়োয়| রাতগুলো নিষ্ফল।| | #sad| #broken| #heartbroken,746437909520080898,746437909520080898,bn,everyone,2016-06-24T20:20:40.000Z,#heartbroken
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2527489213,"অতটুকু চায়নি বালক!| অত শোভা,অত স্বাধীনতা!| চেয়েছিল আরো কিছু কম.......| তাই এমনটা না হলেও পারতো| Maybe You Deserve Better| #HeartBroken",738027901174611968,738027901174611968,bn,everyone,2016-06-01T15:22:18.000Z,#heartbroken
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2527489213,Sadness Is...| আমি তারে ছাড়া কিছু বুঝি না...| কিন্তু সে আমারে ছাড়া সবই বুঝে...| #HeartBroken,721230238378758144,721230238378758144,bn,everyone,2016-04-16T06:54:23.000Z,#heartbroken
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3138022165,পুলাপান ফিলিং দেয়  #heartbroken । | আর আমার তো #heart  নেই।।।| আমি কি ফিলিং দিতাম...   :3,706923262870163456,706923262870163456,bn,everyone,2016-03-07T19:23:34.000Z,#heartbroken
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2264700150,ওরে নষ্ট তোর বিবেক তোকেই কুরে কুরে খাবে...... #guilty #sad #heartbroken,698528493865463810,698528493865463810,bn,everyone,2016-02-13T15:25:45.000Z,#heartbroken
Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1482468246,"চোখ কে অনেক বারণ করেছি তোমার দিকে যেন না তাকায়, কিন্তু চোখ তো আমার কথা শোনে না ... #Feelings #Heartbroken #♥You",597720083494932480,597720083494932480,bn,everyone,2015-05-11T11:09:07.000Z,#heartbroken
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1482468246,"তুমি আমার সুখ - দুঃখ, আমার বেচে থাকার সব। তোমায় আমি ভুলব কি করে?  #Love #Heartbroken #Feeling",589310384735002624,589310384735002624,bn,everyone,2015-04-18T06:11:59.000Z,#heartbroken
Twitter for Android,"{'retweet_count': 4, 'reply_count': 2, 'like_count': 12, 'quote_count': 0}",1482468246,"আমি তোমার পথ চেয়ে বসে থাকি না, কিন্তু তুমাকে ভুলতেও পারি না ... #LoveFact #Feeling #Heartbroken http://someurl",586592813887827968,586592813887827968,bn,everyone,2015-04-10T18:13:19.000Z,#heartbroken
Twitter for Android,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",1482468246,"সেই গাছ,সেই সূর্য সবই আছে  ... শুধু তুমি নেই।  সবকিছুই অসম্পূর্ণ মনে হয় আজকাল ... #Felling #Love #LoveFact #heartbroken http://someurl",580677615352172544,580677615352172544,bn,everyone,2015-03-25T10:28:26.000Z,#heartbroken
Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",832604203,সে নাকি মোবাইল ইউস করে না :( #HeartBroken :(,463653834796335104,463653834796335104,bn,everyone,2014-05-06T12:17:43.000Z,#heartbroken
Twitter for Websites,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",119677946,মুক্তি পাচ্ছে না অগ্নি http://someurl #heartbroken #mahi #tetul,385471458631098368,385471458631098368,bn,everyone,2013-10-02T18:28:52.000Z,#heartbroken
,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",830944424,আই জাস্ট ডিসকভার্ড অস্তির টাকলা হাজ আনফলোড মি :( #HeartBroken ;P,355373445732769792,355373445732769792,bn,everyone,2013-07-11T17:10:06.000Z,#heartbroken
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",431426139,Im soooo gonna miss my hair... :( আম্মারে এই জিনিসটা কখনোই বুঝাইতে পারি না যে চুল কাটতে গেলে আমার কইলজাটা ফাইটা যায়... :| #Heartbroken,308525333894803456,308525333894803456,bn,everyone,2013-03-04T10:32:26.000Z,#heartbroken
