conversation_id,created_at,reply_settings,text,author_id,source,id,public_metrics,lang,search_query,in_reply_to_user_id,referenced_tweets,geo
814981046039179265,2016-12-30T23:46:37.000Z,everyone,eu vo ficar metade de janeiro sem tt| #sad,2994950284,Twitter for Android,814981046039179265,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#sad,,,
814967063764672513,2016-12-30T22:51:04.000Z,everyone,Resto do Twitter // Insónias Carvão no #TorneioDeClausura2016 | | #Rigged #SAD http://someurl,61455260,TweetDeck,814967063764672513,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 7, 'quote_count': 0}",pt,#sad,,,
814947385621225472,2016-12-30T21:33:55.000Z,everyone,"@someuser tô em duvida, a gente se cruzou no mar mas não aconteceu nada #sad mas não que ele era bonito era!",3392429039,Twitter for iPhone,814947649333985280,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",pt,#sad,3392429039,"[{'type': 'replied_to', 'id': '814947385621225472'}]",
814937664889692164,2016-12-30T20:54:14.000Z,everyone,"choveu mt, só q n refrescou #sad",4173746494,Twitter for Android,814937664889692164,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#sad,,,
814919360624128004,2016-12-30T19:41:30.000Z,everyone,@someuser fui abandonada por você #sad,1522619953,Twitter for iPhone,814919360624128004,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#sad,792546450,,
814916523219292160,2016-12-30T19:30:14.000Z,everyone,part 6.| .| .| .| .| .| .| .| .| .| .| .| #frightening #sorrow #sad #house #blackandwhite... http://someurl,65620872,Instagram,814916523219292160,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,#sad,,,
814896204698021888,2016-12-30T18:09:29.000Z,everyone,Code Adam: a poem| | #poem #bars #rap #sad #lost #lifeishard #questions #answers #feellost #poetry... http://someurl,17324441,Instagram,814896204698021888,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#sad,,,
814862296287744001,2016-12-30T16:52:24.000Z,everyone,@someuser nunca mais vi #sad,4091354913,Twitter for Android,814876804754325509,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#sad,3315713357,"[{'type': 'replied_to', 'id': '814867497774153728'}]",
814841680004321280,2016-12-30T14:32:50.000Z,everyone,no momento apaixonada por esse maiô mas achando que se eu comprar nao vai combinar com o meu corpo #sad http://someurl,483103202,Twitter for iPhone,814841680004321280,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 15, 'quote_count': 0}",pt,#sad,,,
814789130135732224,2016-12-30T11:04:01.000Z,everyone,algunas parejas sois tan goals que #sad,565543005,Twitter for Android,814789130135732224,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#sad,,,
814736293628444672,2016-12-30T07:34:04.000Z,everyone,ninguno #sad http://someurl,3418420426,Twitter for Android,814736293628444672,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#sad,,,
814715728028901377,2016-12-30T06:39:59.000Z,everyone,@someuser #sad. Eu não sou mto ligada na nova,769980849563508736,Twitter Web Client,814722683942404100,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",pt,#sad,769723403041472512,"[{'type': 'replied_to', 'id': '814722463070355456'}]",
814301453942722560,2016-12-30T05:03:43.000Z,everyone,"@someuser  miga soh vi agr sorry. Cara eu juro, no segundo dia de vendas eu fui ver e já estava TD esgotado. Chorei tanto #sad #bts",3857025023,Twitter for Android,814698458393309184,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",pt,#sad,3025385308,"[{'type': 'replied_to', 'id': '814301453942722560'}]",
814680757872508928,2016-12-30T03:53:23.000Z,everyone,"Vou tomar banho, mas quando eu sair sabe o que vai ter acontecido? Eu vou ter tomado banho, camila não vai ter me notado #sad",2214747864,Twitter for Android,814680757872508928,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#sad,,,
