public_metrics,created_at,id,text,reply_settings,conversation_id,source,author_id,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-24T12:27:36.000Z,812635836768337920,"Minha reação quando lembro que é natal, mas lá fora tá MUITO SOL ☀ | #christmas #SUN #depressed http://someurl",everyone,812635836768337920,Instagram,60174364,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-24T08:27:51.000Z,812575501713870848,#depressed sex alexis pornostar http://someurl,everyone,812575501713870848,Twitter Web Client,217333064,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T21:30:13.000Z,810960452591243264,eu sinto tanta falta da avril ): se tem uma coisa q eu sinto falta são novas musicas da minha bichinha #DEPRESSED,everyone,810960452591243264,Twitter Web Client,3111149145,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T17:49:45.000Z,810904969121591297,#depressed @ Basílica de la Sagrada Família http://someurl,everyone,810904969121591297,Instagram,67109468,ca,#depressed,"{'coordinates': {'type': 'Point', 'coordinates': [2.17477798, 41.40384119]}, 'place_id': '1a27537478dd8e38'}",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-18T08:13:54.000Z,810397664244330498,"#Stressed #Depressed #ButWellDressed 😉 @ New Delhi, India http://someurl",everyone,810397664244330498,Linkis: turn sharing into growth,2985096798,pt,#depressed,"{'coordinates': {'type': 'Point', 'coordinates': [77.2089, 28.6139]}, 'place_id': '317fcc4b21a604d5'}",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-17T01:23:18.000Z,809931947476680704,nao sei oq esta acontecendo so sei que estou #depressed,everyone,809931947476680704,Twitter for iPhone,2316102031,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-16T09:00:36.000Z,809684642953502720,Final de 4ta templorada #houseofcards #depressed http://someurl,everyone,809684642953502720,Twitter for iPhone,537678761,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-14T12:13:07.000Z,809008313828577280,video sex agnes monica #depressed sex http://someurl,everyone,809008313828577280,Twitter Web Client,602132719,en,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-12T06:01:03.000Z,808189904119283712,#depressed sex brutal porn teen http://someurl,everyone,808189904119283712,Twitter Web Client,301628905,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-11T23:31:21.000Z,808091834127962112,#depressed sex free sex videos desi http://someurl,everyone,808091834127962112,Twitter Web Client,155608689,es,#depressed,,,
